ActionID,Timestamp,Product,CurrentStock,StockBeforeOrder,StockAfterOrder,PredictedDaysToDepletion,Confidence,UrgencyLevel,ReorderQuantity,Reasoning,LIMEEvidence,DecisionRationale,Status,AgentConsensus,ProcessingTimeMS,AutoApproved,InventoryUpdated
MULTI-20251126185509-0,2025-11-26T18:55:09.366526,Coca Cola (2L),1909,1909,47167,0,0.8828163194590927,CRITICAL,45258,"UrgencyAgent: 🚨 EMERGENCY: Only 1.4 days until stockout! | QuantityAgent: 📊 Optimal: 16308 units (EOQ: 10868, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 70920 units (Est. savings: $22875.78)",UrgencyAgent: StockPercentage: -0.27; CurrentStock: +0.01 | QuantityAgent: StockPercentage: -0.30; CurrentStock: +0.04 | CostAgent: StockPercentage: -0.27; CurrentStock: +0.01,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-1,2025-11-26T18:55:09.366526,Facewash (100ml),83,83,55657,0,0.7861570542098285,CRITICAL,55574,"UrgencyAgent: 🚨 EMERGENCY: Only 0.4 days until stockout! | QuantityAgent: 📊 Optimal: 18048 units (EOQ: 12032, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 89172 units (Est. savings: $7721.87)",UrgencyAgent: AvgDailySales: -0.42; CurrentStock: -0.40 | QuantityAgent: AvgDailySales: -0.42; CurrentStock: -0.40 | CostAgent: CurrentStock: -0.42; AvgDailySales: -0.42,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-2,2025-11-26T18:55:09.366526,Bisleri Water (1L),2185,2185,45879,0,0.8192111016293357,CRITICAL,43694,"UrgencyAgent: 🚨 EMERGENCY: Only 1.6 days until stockout! | QuantityAgent: 📊 Optimal: 16032 units (EOQ: 10681, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 68160 units (Est. savings: $24775.16)",UrgencyAgent: StockPercentage: -0.28; CurrentStock: +0.06 | QuantityAgent: StockPercentage: -0.28; CurrentStock: +0.03 | CostAgent: StockPercentage: -0.31; CurrentStock: +0.04,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-3,2025-11-26T18:55:09.366526,Real Juice (1L),1736,1736,47972,0,0.8228291642274853,CRITICAL,46236,"UrgencyAgent: 🚨 EMERGENCY: Only 1.0 days until stockout! | QuantityAgent: 📊 Optimal: 16476 units (EOQ: 10984, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 72648 units (Est. savings: $16387.75)",UrgencyAgent: StockPercentage: -0.30; AvgDailySales: -0.15 | QuantityAgent: StockPercentage: -0.33; AvgDailySales: -0.12 | CostAgent: StockPercentage: -0.30; AvgDailySales: -0.17,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-4,2025-11-26T18:55:09.366526,Soap (125g),156,156,55319,0,0.7609041349071637,CRITICAL,55163,"UrgencyAgent: 🚨 EMERGENCY: Only 0.2 days until stockout! | QuantityAgent: 📊 Optimal: 17988 units (EOQ: 11988, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 88440 units (Est. savings: $3355.66)",UrgencyAgent: AvgDailySales: -0.44; CurrentStock: -0.40 | QuantityAgent: AvgDailySales: -0.47; CurrentStock: -0.39 | CostAgent: AvgDailySales: -0.41; CurrentStock: -0.36,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-5,2025-11-26T18:55:09.366526,Biscuits,2232,2232,45656,0,0.7477407326956141,CRITICAL,43424,"UrgencyAgent: 🚨 EMERGENCY: Only 1.5 days until stockout! | QuantityAgent: 📊 Optimal: 15984 units (EOQ: 10649, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 67680 units (Est. savings: $23426.93)",UrgencyAgent: StockPercentage: -0.28; AvgDailySales: -0.04 | QuantityAgent: StockPercentage: -0.24; CurrentStock: +0.07 | CostAgent: StockPercentage: -0.28; CurrentStock: +0.05,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-6,2025-11-26T18:55:09.366526,Dry Fruits (250g),1864,1864,47375,0,0.8836790949838239,CRITICAL,45511,"UrgencyAgent: 🚨 EMERGENCY: Only 1.5 days until stockout! | QuantityAgent: 📊 Optimal: 16356 units (EOQ: 10898, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 71364 units (Est. savings: $24334.84)",UrgencyAgent: StockPercentage: -0.29; AvgDailySales: -0.18 | QuantityAgent: StockPercentage: -0.27; AvgDailySales: -0.20 | CostAgent: StockPercentage: -0.29; AvgDailySales: -0.20,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-7,2025-11-26T18:55:09.366526,Chocolate,2131,2131,46128,0,0.8551392191134978,CRITICAL,43997,"UrgencyAgent: 🚨 EMERGENCY: Only 1.6 days until stockout! | QuantityAgent: 📊 Optimal: 16080 units (EOQ: 10718, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 68700 units (Est. savings: $24511.00)",UrgencyAgent: StockPercentage: -0.29; CurrentStock: +0.08 | QuantityAgent: StockPercentage: -0.27; CurrentStock: +0.05 | CostAgent: StockPercentage: -0.30; CurrentStock: +0.05,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-8,2025-11-26T18:55:09.366526,Red Bull (250ml),1868,1868,47356,0,0.8816253918419245,CRITICAL,45488,"UrgencyAgent: 🚨 EMERGENCY: Only 1.4 days until stockout! | QuantityAgent: 📊 Optimal: 16344 units (EOQ: 10896, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 71328 units (Est. savings: $22864.76)",UrgencyAgent: StockPercentage: -0.26; CurrentStock: +0.03 | QuantityAgent: StockPercentage: -0.31; CurrentStock: +0.07 | CostAgent: StockPercentage: -0.31; CurrentStock: +0.04,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
MULTI-20251126185509-9,2025-11-26T18:55:09.366526,Lays Chips,1758,1758,47870,0,0.8860414698002782,CRITICAL,46112,"UrgencyAgent: 🚨 EMERGENCY: Only 1.2 days until stockout! | QuantityAgent: 📊 Optimal: 16464 units (EOQ: 10969, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 72420 units (Est. savings: $20091.30)",UrgencyAgent: StockPercentage: -0.26; AvgDailySales: -0.18 | QuantityAgent: StockPercentage: -0.31; AvgDailySales: -0.15 | CostAgent: StockPercentage: -0.25; AvgDailySales: -0.19,Multi-Agent Consensus: 3 agents,AUTO_APPROVED,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}",0,True,True
