ConsensusID,Timestamp,Product,FinalAction,FinalUrgency,FinalQuantity,ConsensusConfidence,AgentVotes,CombinedReasoning,CombinedLIMEEvidence,TotalAgents,AgreementLevel
CONS-20251125203430,2025-11-25T20:34:30.643285,Pepsi (2L),REORDER,CRITICAL,2024,0.5684929886344511,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.7 days until stockout! | QuantityAgent: 📊 Optimal: 2736 units (EOQ: 1824, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 1968 units (Est. savings: $298.83)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Red Bull (250ml),REORDER,CRITICAL,1997,0.5525738618398247,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.9 days until stockout! | QuantityAgent: 📊 Optimal: 2712 units (EOQ: 1804, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 1944 units (Est. savings: $379.70)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Kurkure,REORDER,CRITICAL,2166,0.5525738618398247,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.9 days until stockout! | QuantityAgent: 📊 Optimal: 2856 units (EOQ: 1898, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 2160 units (Est. savings: $420.56)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Salt (1kg),REORDER,CRITICAL,1714,0.5563688253355884,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.8 days until stockout! | QuantityAgent: 📊 Optimal: 2460 units (EOQ: 1634, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 1584 units (Est. savings: $280.01)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Shampoo (250ml),REORDER,CRITICAL,1889,0.5525738618398247,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.9 days until stockout! | QuantityAgent: 📊 Optimal: 2616 units (EOQ: 1738, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 1812 units (Est. savings: $352.45)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Soap (125g),REORDER,CRITICAL,2424,0.5759761120010854,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.7 days until stockout! | QuantityAgent: 📊 Optimal: 3084 units (EOQ: 2050, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 2460 units (Est. savings: $404.43)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Rice (5kg),REORDER,CRITICAL,2070,0.5714629036166543,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.6 days until stockout! | QuantityAgent: 📊 Optimal: 2784 units (EOQ: 1852, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 2016 units (Est. savings: $301.97)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Lays Chips,REORDER,CRITICAL,1682,0.5768753382344891,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.7 days until stockout! | QuantityAgent: 📊 Optimal: 2460 units (EOQ: 1634, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 1488 units (Est. savings: $262.15)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Butter (100g),REORDER,CRITICAL,2284,0.5736450299772021,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.7 days until stockout! | QuantityAgent: 📊 Optimal: 2964 units (EOQ: 1970, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 2292 units (Est. savings: $347.64)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Biscuits,REORDER,CRITICAL,1768,0.5714629036166543,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.6 days until stockout! | QuantityAgent: 📊 Optimal: 2520 units (EOQ: 1674, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 1632 units (Est. savings: $246.71)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
CONS-20251125203430,2025-11-25T20:34:30.643285,Cheese (200g),REORDER,CRITICAL,1782,0.5563688253355884,"{""UrgencyAgent"": ""IMMEDIATE_REORDER"", ""QuantityAgent"": ""OPTIMIZE_QUANTITY"", ""CostAgent"": ""COST_OPTIMIZE""}","UrgencyAgent: 🚨 EMERGENCY: Only 0.8 days until stockout! | QuantityAgent: 📊 Optimal: 2520 units (EOQ: 1678, Urgency: CRITICAL) | CostAgent: 💵 Cost-optimized: 1668 units (Est. savings: $295.32)",UrgencyAgent: N/A | QuantityAgent: N/A | CostAgent: N/A,3,HIGH
